Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
5/27/2018;MarathonBet;Ludo Picks Perso;Football;Simple;hang sai 5.5;2;100;-100;-100;Perdu
5/27/2018;Pinnacle;Mr Betting;Football;Simple;Rayo + Osasuna;1.76;250;440;190;Gagne
5/27/2018;Pinnacle;Mr Betting;Football;Simple;Cordoba;1.751;250;437.75;187.75;Gagne
5/27/2018;Asianodds;Norskii;Football;Simple;aalesunds -0.75;1.806;225;-225;-225;Perdu
5/27/2018;Pinnacle;Rusp;Football;Simple;torpedo vladimir 0 un peu asianodds;1.88;293;-293;-293;Perdu
5/27/2018;Pinnacle;Zigfrid;Football;Simple;Desna Chernihiv;1.746;400;698.4;298.4;Gagne
5/27/2018;Asianodds;Zigfrid;Football;Simple;Pogon Siedlce -0.75;2.03;400;-400;-400;Perdu
5/27/2018;Bet365;Zorro;Football;Simple;castellon -0.25 ht;1.8;200;360;160;Gagne
5/27/2018;Netbet;Zorro;Football;Simple;becicherecu w;5.1;27;-27;-27;Perdu
5/27/2018;188Bet;Autre Tipster;Football;Simple;sporting cristal HT;2.04;300;-300;-300;Perdu
5/27/2018;MarathonBet;Autre Tipster;Football;Simple;borja 0 ht;1.41;200;0;0;Rembourse
5/27/2018;Asianodds;Autre Tipster;Football;Simple;silkeborg 0.25;1.87;250;-250;-250;Perdu
5/27/2018;Asianodds;Autre Tipster;Football;Simple;Lyngby BK - Vendsyssel FF over 1.75;2.49;250;622.5;372.5;Gagne
5/27/2018;Asianodds;Autre Tipster;Football;Simple;bahia -0.75;2.05;250;512.5;262.5;Gagne
5/27/2018;Asianodds;Autre Tipster;Football;Simple;Huesca 1;1.82;240;0;0;Rembourse
5/27/2018;Netbet;Autre Tipster;Football;Simple;flora II -2.5;1.85;40;74;34;Gagne
5/27/2018;Netbet;Autre Tipster;Football;Simple;flora II -2.75;2.01;169;339.69;170.69;Gagne
5/27/2018;Asianodds;Autre Tipster;Football;Simple;malmo 0;2.18;225;0;0;Rembourse
5/27/2018;Netbet;Autre Tipster;Football;Simple;Nyiregyhaza FC - Dunakanyar Vac over 2.5;2.08;300;-300;-300;Perdu
